Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-02-13 00:00:00-05:00,1.620128432409022,1.693349891934307,1.6032958650042581,1.691666603088379,76216000,0.0,0.0
2002-02-14 00:00:00-05:00,1.7127068566465367,1.7160732730731978,1.6706256078863133,1.6832499504089355,11021600,0.0,0.0
2002-02-15 00:00:00-05:00,1.6832506559985494,1.687458718427629,1.658001960369488,1.6748343706130981,8389600,0.0,0.0
2002-02-19 00:00:00-05:00,1.666417919400072,1.666417919400072,1.5780473329649454,1.6075042486190796,7410400,0.0,0.0
2002-02-20 00:00:00-05:00,1.615920080342716,1.662209391593933,1.6032955767949013,1.662209391593933,6892800,0.0,0.0
2002-02-21 00:00:00-05:00,1.6563181342452165,1.6706257666040776,1.6411688575679233,1.65800142288208,6976800,0.0,0.0
2002-02-22 00:00:00-05:00,1.6706259454888581,1.6706259454888581,1.6159203431510243,1.6285446882247925,3525600,0.0,0.0
2002-02-25 00:00:00-05:00,1.6243365036922721,1.6537934165628076,1.6058208078583192,1.6411690711975098,3453600,0.0,0.0
2002-02-26 00:00:00-05:00,1.632752787444891,1.6580016387027476,1.606662452286307,1.6411690711975098,2761600,0.0,0.0
2002-02-27 00:00:00-05:00,1.628544664998102,1.6293863093946503,1.5990877532279262,1.611712098121643,4091200,0.0,0.0
2002-02-28 00:00:00-05:00,1.6159205331670146,1.6369611642732138,1.6075042486190796,1.6075042486190796,2751200,0.0,0.0
2002-03-01 00:00:00-05:00,1.6032960192674437,1.6453772813009964,1.5974046682671104,1.6302281618118286,1913600,0.0,0.0
2002-03-04 00:00:00-05:00,1.6369607965030042,1.6672591893303503,1.6344358635477088,1.65800142288208,3180800,0.0,0.0
2002-03-05 00:00:00-05:00,1.6495853051545457,1.6537933666401972,1.6125537540772406,1.6201283931732178,3444800,0.0,0.0
2002-03-06 00:00:00-05:00,1.619286760257976,1.6352776829659528,1.6159203431510243,1.6285446882247925,1316800,0.0,0.0
